,Nt,(mm),time
0,0.00000,0.00000,0.00000
1,1.35805,0.02500,0.10100
2,6.11122,0.05000,0.20100
3,9.84586,0.07750,0.30200
4,12.56196,0.10250,0.40200
5,13.92001,0.12750,0.50200
6,15.27806,0.15250,0.60300
7,17.65465,0.17750,0.70300
8,19.01270,0.20250,0.80300
9,19.01270,0.22750,0.90400
10,19.69172,0.25250,1.00400
11,38.36491,0.27750,1.10500
12,47.53174,0.30250,1.20500
13,48.21077,0.32750,1.30600
14,48.21077,0.35250,1.40600
15,48.88979,0.37750,1.50600
16,48.88979,0.40250,1.60700
17,48.88979,0.42750,1.70700
18,49.56882,0.45250,1.80700
19,49.56882,0.47750,1.90800
20,50.24784,0.50250,2.00800
21,50.24784,0.52750,2.10900
22,50.24784,0.55250,2.20800
23,50.24784,0.57750,2.30900
24,52.28492,0.60250,2.40900
25,53.64297,0.62750,2.51000
26,57.71711,0.65250,2.61100
27,72.31615,0.67750,2.71000
28,94.72397,0.70500,2.81100
29,106.60690,0.73000,2.91100
30,84.19909,0.75500,3.01200
31,87.25470,0.78000,3.11300
32,92.34738,0.80500,3.21200
33,101.17470,0.83000,3.31300
34,108.98340,0.85500,3.41300
35,115.43420,0.88000,3.51400
36,119.84780,0.90500,3.61500
37,122.56390,0.93000,3.71400
38,125.28000,0.95500,3.81500
39,141.91620,0.98000,3.91500
40,152.44100,1.00500,4.01600
41,160.24980,1.03000,4.11700
42,165.68200,1.05500,4.21600
43,170.09570,1.08000,4.31700
44,173.49080,1.10500,4.41700
45,175.52790,1.13000,4.51800
46,177.90450,1.15500,4.61800
47,180.28110,1.18000,4.71800
48,181.29960,1.20500,4.81900
49,182.65760,1.23000,4.91900
50,184.69470,1.25500,5.02000
51,186.05280,1.28000,5.11900
52,186.39230,1.30500,5.22000
53,188.08980,1.33000,5.32100
54,188.08980,1.35500,5.42100
55,189.78740,1.38000,5.52200
56,190.46640,1.40500,5.62100
57,190.80590,1.43000,5.72200
58,191.82450,1.45750,5.82300
59,193.52200,1.48000,5.92300
60,193.52200,1.50500,6.02400
61,193.52200,1.53000,6.12300
62,195.55910,1.55500,6.22400
63,197.25670,1.58000,6.32500
64,197.25670,1.60500,6.42500
65,197.93570,1.63000,6.52500
66,198.95420,1.65750,6.62500
67,199.63330,1.68250,6.72600
68,200.31230,1.70750,6.82600
69,201.33080,1.73000,6.92700
70,201.67030,1.75750,7.02700
71,202.68890,1.78000,7.12700
72,203.02840,1.80500,7.22800
73,203.70740,1.83000,7.32800
74,204.38640,1.85500,7.42900
75,205.40500,1.88000,7.52900
76,206.42350,1.90500,7.62900
77,206.76300,1.93000,7.73000
78,207.78160,1.95500,7.83000
79,208.46060,1.98000,7.93000
80,209.13960,2.00500,8.03100
81,209.47910,2.03000,8.13100
82,210.83720,2.05500,8.23200
83,211.17670,2.08000,8.33200
84,211.85570,2.10500,8.43200
85,212.19520,2.13000,8.53300
86,213.21380,2.15750,8.63300
87,213.21380,2.18000,8.73400
88,213.89280,2.20500,8.83400
89,214.91130,2.23000,8.93400
90,215.92990,2.25500,9.03400
91,216.26940,2.28000,9.13500
92,217.28790,2.30500,9.23600
93,217.28790,2.33000,9.33600
94,218.30650,2.35750,9.43700
95,218.30650,2.38000,9.53600
96,219.32500,2.40500,9.63700
97,219.32500,2.43000,9.73800
98,220.68300,2.45750,9.83800
99,221.36210,2.48250,9.93800
100,222.04110,2.50500,10.03800
101,222.72010,2.53000,10.13900
102,222.72010,2.55500,10.24000
103,223.05960,2.58000,10.34000
104,224.07820,2.60500,10.44000
105,224.41770,2.63250,10.54000
106,225.43620,2.65750,10.64100
107,225.77570,2.68250,10.74200
108,226.11520,2.70750,10.84100
109,226.79430,2.73250,10.94200
110,227.13380,2.75750,11.04200
111,227.81280,2.78250,11.14300
